activity_id,mobile_number,activity,date,date(time),duration(min),length_of_text,type_of_load,amount_load,receiver,mb_use,location(city),location(district)
535684,87429325038,load,11/20/2020,19:33,,,GoSakto70,5,loading,,Las Pinas,11
426513,61389171731,online_shopping,8/16/2020,12:06,0:30:26,,,,shopee,600,Quezon City,11
884901,55758272078,text,3/23/2020,15:43,0:21:45,143,,,64167096288,1.13,Paranaque,11
393989,13997564501,call,10/24/2020,23:16,0:23:10,,,,11016532592,40,Valenzuela,7
944144,99210822810,online_shopping,11/8/2020,11:38,0:16:16,,,,shopee,750,Caloocan,9
818795,74660808762,call,12/13/2020,4:17,0:12:52,,,,58138185944,60,Valenzuela,11
693770,44091750031,call,8/15/2020,0:45,0:49:31,,,,45094896403,40,Caloocan,8
863141,34336123368,online_game,5/11/2020,8:15,0:53:24,,,,game a,2000,Caloocan,4
903919,38939145418,online_consultation,7/15/2020,11:52,0:38:22,,,,medical_consultation,300,Malabon,7
730200,34935390666,online_shopping,11/5/2020,18:59,0:59:57,,,,lazada,450,Quezon City,11
419119,48419826003,call,1/18/2020,4:39,,,,,31618627789,60,Valenzuela,5
462158,85186169556,online_game,1/9/2020,18:04,,,,,game b,500,Mandaluyong,10
822563,17560936323,text,10/4/2020,17:46,0:12:41,123,,,11180975236,0.97,Mandaluyong,10
508570,48608794383,call,3/22/2020,0:30,,,,,79564477533,20,Paranaque,2
445256,72885961377,twitter,9/4/2020,12:49,0:58:57,,,,twitter.com,1000,Manila,15
851465,25937275405,online_game,11/2/2020,17:40,0:16:40,,,,game b,1500,San Juan,4
379620,44675666644,facebook,8/23/2020,3:59,0:10:53,,,,facebook.com,250,Mandaluyong,3
527664,71572354398,facebook,5/24/2020,7:52,0:30:11,,,,facebook.com,250,Valenzuela,6
937177,71475263844,call,8/24/2020,3:07,0:17:51,,,,57126715144,20,Quezon City,14
891921,31029975060,online_consultation,4/19/2020,14:18,0:32:12,,,,school_consultation,150,Malabon,13
664451,50026964010,facebook,7/23/2020,5:21,,,,,facebook.com,250,Navotas,1
976161,31711483731,online_game,3/4/2020,11:55,0:03:20,,,,game b,1500,Manila,8
701332,69814221608,twitter,10/27/2020,7:55,0:36:37,,,,twitter.com,750,Paranaque,7
800931,79722231144,facebook,8/25/2020,2:21,0:52:51,,,,facebook.com,500,Taguig,10
360860,31209146907,online_support,4/8/2020,1:48,0:41:46,,,,finance_support,60,Malabon,5
763192,39663527609,youtube,4/16/2020,13:26,0:46:56,,,,youtube.com,5000,Taguig,12
447511,33491836828,youtube,7/17/2020,7:10,0:14:40,,,,youtube.com,5000,Taguig,16
681956,64686322897,text,8/5/2020,20:45,0:08:58,100,,,25937275405,0.8,Makati,7
994784,25906792089,online_game,8/30/2020,18:17,0:55:15,,,,game a,2500,Taguig,5
314144,69286228396,bank,1/6/2020,9:24,0:53:47,,,,bdo,150,Navotas,12
426374,17569485243,online_shopping,12/26/2020,1:15,0:34:46,,,,lazada,300,Muntinlupa,2
378568,26840480506,call,5/11/2020,11:25,0:39:17,,,,24446192783,40,Muntinlupa,10
709186,38841227289,load,1/25/2020,23:10,,,GoSakto50,5,loading,,Valenzuela,16
226915,81892781525,call,3/2/2020,3:03,0:10:42,,,,10921518989,40,Pasay,3
657861,63073444394,load,12/13/2020,20:43,0:25:38,,GoSakto90,200,loading,,Pasay,8
644664,96706746354,online_consultation,6/8/2020,7:28,0:17:17,,,,medical_consultation,150,Taguig,5
732576,51626048365,online_shopping,8/4/2020,6:59,0:31:39,,,,lazada,600,Pasig,12
572411,57126715144,online_consultation,11/25/2020,21:20,0:07:24,,,,medical_consultation,750,Paranaque,5
693375,90057030574,twitter,8/23/2020,15:43,0:44:32,,,,twitter.com,500,Manila,13
183190,68638128866,online_shopping,8/2/2020,3:46,0:21:41,,,,shopee,300,Taguig,11
193034,65853940348,facebook,11/8/2020,5:50,0:39:41,,,,facebook.com,1000,Valenzuela,10
474815,75398439714,load,5/6/2020,16:07,0:26:32,,GoSakto70,150,loading,,Taguig,2
580822,65769602056,bank,12/25/2020,2:36,0:37:17,,,,bpi,50,Navotas,3
702771,16692821112,load,5/19/2020,17:56,0:18:14,,Regular Load,20,loading,,Valenzuela,4
501637,87737617364,bank,7/8/2020,18:00,0:16:19,,,,bpi,200,Paranaque,3
152057,34867655850,text,6/18/2020,23:31,0:40:34,86,,,60095814940,0.69,Valenzuela,13
542474,14768807390,twitter,1/16/2020,12:21,0:25:18,,,,twitter.com,1250,San Juan,1
389506,30330154083,online_shopping,7/20/2020,11:38,0:50:27,,,,lazada,600,Malabon,13
119107,43226038926,facebook,1/2/2020,22:50,0:56:49,,,,facebook.com,1000,Taguig,6
931694,77998180489,text,12/14/2020,12:50,0:20:10,167,,,66385178960,1.32,Las Pinas,14
170471,69488702276,load,2/25/2020,9:31,0:25:44,,GoSakto90,20,loading,,Mandaluyong,16
961884,66287102437,call,10/26/2020,8:23,,,,,92746537968,20,San Juan,13
764178,40351421451,online_support,8/18/2020,20:37,0:22:53,,,,finance_support,90,Manila,11
541468,41074592889,call,4/20/2020,14:57,0:27:45,,,,19016944270,40,Taguig,10
153312,63046104890,call,12/30/2020,19:50,0:35:58,,,,20377185356,80,Taguig,3
786608,11199521042,online_game,4/7/2020,20:38,0:36:51,,,,game a,2500,Las Pinas,11
899540,92144532642,load,7/1/2020,23:40,0:10:23,,GoSakto90,50,loading,,Taguig,1
925988,25236820254,online_game,1/7/2020,14:10,0:45:48,,,,game a,2000,Taguig,1
163880,44671275539,online_consultation,10/26/2020,16:13,0:09:47,,,,school_consultation,600,Pasig,4
891436,92746537968,facebook,3/6/2020,18:26,0:47:16,,,,facebook.com,1000,Paranaque,12
925010,42767593534,twitter,4/29/2020,6:34,0:16:41,,,,twitter.com,750,Mandaluyong,9
253674,50867716974,online_shopping,9/28/2020,0:08,0:58:46,,,,lazada,150,Pasig,7
624860,21927897378,bank,7/29/2020,12:57,0:03:18,,,,bdo,250,Makati,1
447379,43835722509,load,11/3/2020,14:15,0:01:34,,Regular Load,50,loading,,San Juan,5
139029,29255273569,twitter,5/17/2020,23:59,0:43:44,,,,twitter.com,750,Marikina,8
993023,20915517632,text,11/4/2020,5:32,0:47:39,98,,,32654189830,0.8,Caloocan,7
346454,87714122561,twitter,8/31/2020,11:41,0:18:19,,,,twitter.com,750,Pasig,10
529056,48744683835,text,11/28/2020,22:46,0:18:27,82,,,93391654487,0.68,Malabon,2
219382,86634719145,youtube,8/16/2020,6:05,0:30:18,,,,youtube.com,4000,Caloocan,2
437130,52083092893,load,7/9/2020,15:10,0:44:10,,GoSakto90,150,loading,,Taguig,15
753940,34451697115,online_consultation,8/7/2020,14:43,,,,,school_consultation,750,Taguig,11
619375,74365313263,bank,6/20/2020,18:38,0:16:55,,,,bdo,50,Navotas,15
194624,36501318993,load,7/13/2020,21:43,0:20:44,,GoSakto70,20,loading,,Marikina,6
790734,85643457555,online_support,2/9/2020,19:35,0:31:18,,,,technical_support,30,Navotas,15
211756,46503094856,online_support,4/8/2020,12:30,0:10:32,,,,technical_support,30,Pasay,14
922483,46562739007,call,2/28/2020,21:13,0:15:59,,,,17519590210,40,Navotas,3
782822,83146397555,bank,11/27/2020,18:12,0:18:53,,,,bdo,100,Paranaque,10
637310,48092068109,online_shopping,8/2/2020,19:52,0:17:30,,,,lazada,300,Caloocan,4
224319,40451643899,online_support,4/20/2020,14:01,0:41:35,,,,technical_support,30,Pasig,15
168277,62161271327,youtube,10/12/2020,12:41,0:03:13,,,,youtube.com,2000,Quezon City,4
543584,85176489264,online_shopping,9/26/2020,18:34,,,,,shopee,300,Navotas,7
168511,93281523839,youtube,12/19/2020,20:53,0:30:31,,,,youtube.com,5000,Makati,16
345088,37359754644,bank,6/4/2020,12:53,0:46:41,,,,bpi,100,Caloocan,9
362754,91558028989,load,9/16/2020,23:57,0:24:25,,Regular Load,50,loading,,Makati,3
696283,66296038423,online_support,3/14/2020,1:31,0:20:53,,,,finance_support,120,Pasay,15
116703,14010464745,call,6/21/2020,22:56,0:55:30,,,,37629794854,80,San Juan,7
235054,39311705185,call,8/4/2020,11:43,0:20:59,,,,50262269945,20,Quezon City,13
311791,99252660528,facebook,2/18/2020,12:43,0:30:30,,,,facebook.com,1250,Taguig,12
934459,42334099883,call,12/8/2020,0:16,0:49:14,,,,73918738759,20,Taguig,4
682697,72625140607,online_game,10/25/2020,13:13,0:09:50,,,,game a,500,Pasig,7
288729,38078236965,online_game,11/4/2020,17:41,,,,,game a,500,Quezon City,15
203825,76294471049,online_consultation,12/17/2020,13:31,0:55:10,,,,technical_consultation,600,Paranaque,3
868933,91576915779,call,11/17/2020,4:15,0:37:59,,,,94777612735,40,Valenzuela,5
308874,74726708939,call,8/24/2020,23:51,0:07:14,,,,28294737127,80,Paranaque,5
856259,88920314902,online_game,8/29/2020,21:22,0:10:34,,,,game b,2000,Pasay,7
105876,75641001171,facebook,7/10/2020,15:48,0:29:47,,,,facebook.com,250,Paranaque,3
558137,40581493026,bank,12/24/2020,23:58,0:08:22,,,,bdo,250,Malabon,5
690697,71042678491,load,2/2/2020,9:05,,,GoSakto50,20,loading,,Paranaque,6
287232,68714003568,bank,12/4/2020,18:23,0:32:45,,,,bdo,50,Taguig,14
605148,30531149056,call,11/30/2020,3:19,0:56:53,,,,90057030574,40,Navotas,10
535001,12716621433,online_shopping,11/13/2020,16:15,,,,,lazada,150,Marikina,6
855663,15918341149,online_shopping,10/9/2020,21:06,0:36:45,,,,shopee,600,Pasig,14
365728,62601216739,online_game,8/22/2020,15:09,0:13:14,,,,game a,1500,Valenzuela,5
518528,50262269945,text,5/30/2020,18:14,0:45:37,160,,,31065938319,1.26,Mandaluyong,14
569025,39445347319,text,8/6/2020,5:26,0:34:13,106,,,24656187974,0.85,Malabon,9
934063,81595580494,bank,2/11/2020,5:51,0:15:40,,,,bpi,150,Las Pinas,11
590476,46336029098,youtube,10/18/2020,0:59,0:01:50,,,,youtube.com,4000,Paranaque,13
222012,50716899519,online_game,3/27/2020,14:02,,,,,game b,1000,Malabon,14
379727,62316072233,online_consultation,4/27/2020,16:04,,,,,medical_consultation,150,Mandaluyong,13
359437,11866354295,facebook,10/11/2020,18:25,0:48:14,,,,facebook.com,250,Manila,4
814887,26372574745,online_consultation,11/16/2020,16:08,0:29:18,,,,school_consultation,450,Pasig,6
830858,89817002694,call,7/8/2020,5:28,0:04:57,,,,65398517382,80,Caloocan,6
958959,18985853288,online_game,12/24/2020,14:46,0:03:11,,,,game a,2500,Marikina,1
539213,72099232946,online_support,5/27/2020,19:58,0:25:36,,,,finance_support,30,Malabon,14
611274,82587642606,twitter,8/16/2020,3:40,0:30:57,,,,twitter.com,250,Marikina,11
619593,94799684350,online_shopping,5/4/2020,3:11,0:33:13,,,,lazada,300,Pasig,9
306900,36938044023,call,5/23/2020,16:51,0:25:22,,,,71816058365,40,Makati,5
177146,55525802222,online_consultation,7/31/2020,9:22,0:26:38,,,,medical_consultation,600,Pasig,6
430234,29328982331,online_shopping,3/10/2020,7:30,0:29:46,,,,shopee,750,Caloocan,12
134192,26462096221,online_shopping,8/9/2020,17:04,0:57:28,,,,shopee,150,Malabon,3
701557,87735262690,youtube,5/1/2020,14:14,,,,,youtube.com,2000,Paranaque,3
263178,94093156879,load,5/28/2020,9:00,0:32:35,,GoSakto50,150,loading,,Pasig,14
595845,21772996025,youtube,4/26/2020,2:10,0:49:39,,,,youtube.com,1000,Caloocan,8
213985,49989201215,load,2/9/2020,20:31,0:29:26,,GoSakto90,20,loading,,Pasay,12
845058,66621702386,load,9/29/2020,21:38,0:24:49,,GoSakto90,200,loading,,San Juan,10
406345,58576921385,load,5/18/2020,16:24,0:48:24,,GoSakto90,200,loading,,Marikina,7
842586,28273304431,online_support,4/27/2020,0:39,0:22:30,,,,technical_support,120,Makati,9
442438,12703668936,facebook,6/23/2020,2:15,,,,,facebook.com,750,Marikina,9
735796,35158056213,facebook,3/14/2020,5:13,0:55:34,,,,facebook.com,500,Muntinlupa,13
450042,71597335015,online_support,1/6/2020,15:42,0:30:45,,,,technical_support,150,Taguig,5
760756,77235149700,facebook,10/27/2020,23:05,,,,,facebook.com,1000,Las Pinas,1
237734,11328019437,facebook,3/11/2020,16:16,,,,,facebook.com,750,Muntinlupa,11
128226,70783370730,text,2/20/2020,7:35,0:56:56,195,,,83877537095,1.54,Muntinlupa,16
691541,48155793374,bank,9/14/2020,3:47,0:30:52,,,,bdo,50,Marikina,11
748679,25708598675,call,1/17/2020,2:35,0:26:41,,,,43275399921,20,Marikina,14
372752,65652116377,text,4/5/2020,1:40,0:55:20,63,,,80355932966,0.5,Pasay,2
294211,32184546188,twitter,4/6/2020,0:17,0:20:35,,,,twitter.com,500,Muntinlupa,12
310753,48505621876,text,5/12/2020,2:13,,106,,,42247712068,0.84,Caloocan,9
676196,90386175651,facebook,1/30/2020,22:52,,,,,facebook.com,1000,Caloocan,6
907937,64928412299,youtube,8/18/2020,13:32,0:09:21,,,,youtube.com,4000,Caloocan,12
776491,63935190119,online_consultation,8/17/2020,8:20,0:50:11,,,,school_consultation,300,Taguig,9
388118,82639770432,youtube,7/15/2020,19:04,,,,,youtube.com,3000,Makati,1
516572,81571372456,online_game,11/6/2020,13:01,0:31:57,,,,game a,500,Navotas,8
542800,90568482729,bank,11/8/2020,15:31,0:25:48,,,,bpi,250,Pasig,14
859828,67600547716,online_shopping,2/11/2020,15:06,0:32:17,,,,shopee,600,Valenzuela,11
168050,83270172312,text,12/30/2020,6:21,0:07:57,112,,,76343108940,0.91,Navotas,3
473219,50905485503,online_consultation,3/20/2020,18:19,0:35:39,,,,technical_consultation,150,Taguig,1
290160,57630150911,online_support,8/4/2020,8:10,0:58:29,,,,technical_support,150,Las Pinas,4
971675,95633818048,facebook,8/27/2020,2:07,0:33:58,,,,facebook.com,250,Pasay,15
270226,21529268594,online_game,9/4/2020,14:29,0:48:48,,,,game b,2500,Malabon,13
781318,37577718043,online_shopping,2/24/2020,11:38,,,,,lazada,450,Makati,15
677089,58529265458,text,4/7/2020,10:07,,121,,,39039464026,0.95,Makati,15
245225,53749917724,call,5/30/2020,23:21,0:50:14,,,,14935604613,40,Las Pinas,5
818208,97308030873,online_support,10/16/2020,8:42,0:38:55,,,,technical_support,60,Mandaluyong,15
985791,22679301628,call,6/14/2020,20:46,0:34:11,,,,71042678491,100,Manila,2
483401,17172274158,bank,8/22/2020,3:47,0:43:50,,,,bpi,200,Navotas,3
894945,20350028681,online_consultation,5/26/2020,23:40,0:14:15,,,,technical_consultation,450,San Juan,8
201886,90903910750,online_shopping,5/19/2020,17:15,0:29:33,,,,lazada,450,San Juan,10
199792,12902613467,online_consultation,10/16/2020,3:07,,,,,school_consultation,450,Taguig,10
470945,77842359185,load,9/22/2020,15:44,0:20:32,,Regular Load,20,loading,,Pasig,13
612746,93404448865,youtube,10/30/2020,1:32,0:42:47,,,,youtube.com,5000,Malabon,6
651422,38803232433,online_consultation,5/1/2020,15:01,0:53:14,,,,technical_consultation,750,Quezon City,11
571799,94026327319,online_game,11/9/2020,20:04,0:05:15,,,,game a,1000,Paranaque,4
608948,93424038220,online_support,12/23/2020,0:54,0:57:39,,,,technical_support,60,Taguig,2
567932,16752962843,twitter,9/27/2020,0:49,0:06:30,,,,twitter.com,1250,Pasig,2
158688,43534195565,call,7/13/2020,1:23,0:44:48,,,,50262269945,60,Valenzuela,3
381283,97038508156,youtube,7/20/2020,16:48,0:10:37,,,,youtube.com,2000,Manila,1
601125,42336243508,load,5/5/2020,2:38,0:02:21,,GoSakto50,100,loading,,Marikina,6
853320,86479239578,online_shopping,6/22/2020,10:57,0:01:41,,,,lazada,600,Marikina,12
854030,32654189830,youtube,3/19/2020,5:53,0:09:23,,,,youtube.com,2000,Marikina,9
489691,86478023113,online_consultation,5/29/2020,18:17,,,,,school_consultation,150,Caloocan,6
114707,84976778843,youtube,9/7/2020,3:49,0:09:10,,,,youtube.com,2000,Taguig,6
575005,25947168307,youtube,12/27/2020,16:23,,,,,youtube.com,2000,Pasig,14
856017,66385178960,online_game,1/28/2020,15:51,0:02:38,,,,game b,2000,Pasig,15
662382,64764199578,facebook,6/29/2020,8:34,0:23:42,,,,facebook.com,250,Valenzuela,14
897129,51319805160,youtube,10/22/2020,11:36,0:46:34,,,,youtube.com,3000,Muntinlupa,9
341677,39117702681,online_consultation,9/2/2020,14:52,0:00:40,,,,technical_consultation,600,Mandaluyong,4
837457,30052599058,call,11/4/2020,9:21,0:19:58,,,,46363204660,60,Muntinlupa,9
840288,21709281830,twitter,3/13/2020,20:59,0:19:17,,,,twitter.com,1000,San Juan,13
355816,47918926222,youtube,7/24/2020,21:18,0:32:16,,,,youtube.com,3000,Navotas,3
647516,34663083017,text,11/3/2020,5:33,0:53:54,72,,,24579821570,0.6,Paranaque,9
742706,34956033194,text,8/18/2020,14:03,0:00:27,186,,,77569296200,1.49,Makati,5
139361,84225893224,bank,10/29/2020,15:43,0:50:42,,,,bpi,250,Paranaque,1
649198,99928760579,call,10/28/2020,1:24,0:26:46,,,,46585648328,40,Navotas,6
967472,76499063323,online_game,10/28/2020,21:50,0:20:41,,,,game a,2000,San Juan,3
739652,38944570668,twitter,1/24/2020,13:32,0:50:32,,,,twitter.com,1250,Las Pinas,6
513252,12706377188,youtube,12/25/2020,14:10,0:51:37,,,,youtube.com,5000,Makati,5
807599,12083009701,online_consultation,10/23/2020,10:50,0:31:49,,,,school_consultation,750,Marikina,16
411983,15612124060,load,10/9/2020,23:11,0:59:48,,Regular Load,10,loading,,Makati,13
569817,50329948378,online_support,6/29/2020,18:30,,,,,technical_support,90,Valenzuela,7
985124,10056290345,call,8/18/2020,0:49,0:57:20,,,,39080518166,60,Taguig,14
626964,70712500024,online_support,6/24/2020,21:36,0:48:20,,,,finance_support,150,Valenzuela,12
690407,42506669999,online_consultation,1/11/2020,9:24,0:29:10,,,,school_consultation,150,Navotas,4
582257,45849879931,twitter,7/11/2020,18:56,0:07:29,,,,twitter.com,500,Caloocan,12
417589,39024956854,online_consultation,11/13/2020,20:42,0:23:20,,,,medical_consultation,750,Marikina,5
550436,73262896623,online_shopping,8/7/2020,8:26,0:20:35,,,,shopee,450,Malabon,5
663488,85406662978,online_support,3/27/2020,10:39,0:33:30,,,,finance_support,150,San Juan,16
961274,18888952689,youtube,10/1/2020,10:16,0:57:18,,,,youtube.com,1000,Caloocan,11
989590,41245072681,twitter,7/29/2020,4:42,,,,,twitter.com,1000,Paranaque,14
317587,30594521949,facebook,12/12/2020,6:18,,,,,facebook.com,750,Valenzuela,9
322097,33812130967,call,3/10/2020,14:26,0:47:52,,,,89862036001,20,Manila,13
700150,78453697319,call,5/15/2020,12:04,0:45:15,,,,72625140607,100,Marikina,5
373352,49136014868,online_support,11/9/2020,16:51,,,,,finance_support,120,Paranaque,3
754799,10918298440,call,12/21/2020,1:32,0:34:54,,,,95452618536,40,Valenzuela,7
872551,27751850442,facebook,11/22/2020,8:52,0:51:24,,,,facebook.com,1250,Mandaluyong,14
603699,88329476869,bank,6/28/2020,3:24,0:18:16,,,,bpi,100,Caloocan,3
532166,43491349516,facebook,12/26/2020,5:58,0:54:52,,,,facebook.com,1250,Navotas,4
628003,75732677306,youtube,5/17/2020,14:10,0:36:14,,,,youtube.com,2000,Caloocan,1
442872,73120714795,youtube,1/5/2020,23:08,0:20:12,,,,youtube.com,1000,Marikina,11
939599,64808627659,twitter,10/27/2020,14:54,0:49:42,,,,twitter.com,1250,Mandaluyong,1
742378,66447897220,online_support,6/2/2020,10:24,0:42:12,,,,technical_support,60,Mandaluyong,4
280215,48716595141,facebook,9/14/2020,14:42,0:08:38,,,,facebook.com,250,Manila,4
422309,45073197220,twitter,9/18/2020,20:09,0:40:32,,,,twitter.com,1250,Marikina,8
899265,84974289297,online_game,11/10/2020,1:19,0:32:35,,,,game a,1000,Quezon City,1
163174,95222150641,call,1/23/2020,21:51,0:03:34,,,,83873538859,60,Manila,3
703897,77357957118,online_game,9/6/2020,9:09,0:59:43,,,,game b,2000,Caloocan,1
578944,48884717722,online_consultation,6/6/2020,19:30,0:34:23,,,,school_consultation,600,Paranaque,12
927085,23738972140,online_game,2/17/2020,20:42,0:54:57,,,,game a,2000,Taguig,14
537971,18512046051,text,5/4/2020,13:37,0:06:33,209,,,13388216328,1.66,Quezon City,5
760239,92379306924,youtube,10/3/2020,8:49,0:29:28,,,,youtube.com,2000,Marikina,14
534954,89925770552,online_consultation,3/8/2020,1:50,0:19:43,,,,school_consultation,150,Navotas,13
112052,56237218755,twitter,1/14/2020,10:15,0:04:16,,,,twitter.com,1250,Paranaque,11
606897,17385041290,facebook,5/9/2020,10:09,0:27:12,,,,facebook.com,1250,Muntinlupa,2
242158,31326742424,bank,11/26/2020,2:33,0:15:43,,,,bpi,50,Paranaque,11
256038,30705741096,youtube,5/17/2020,2:26,0:38:47,,,,youtube.com,5000,Pasig,5
188598,70264387289,facebook,12/16/2020,22:43,0:21:54,,,,facebook.com,750,Pasay,10
977526,92991126593,call,11/1/2020,4:19,0:19:38,,,,36662142313,80,Marikina,16
327900,79302869550,online_shopping,8/3/2020,9:25,0:16:16,,,,lazada,750,Muntinlupa,2
817061,75149987157,facebook,3/14/2020,18:06,0:45:42,,,,facebook.com,750,Makati,11
358707,80312098964,online_game,11/19/2020,8:29,0:30:34,,,,game a,2500,Paranaque,2
331763,94407600302,youtube,8/9/2020,3:02,0:56:41,,,,youtube.com,3000,Pasig,12
217764,60447479573,online_support,9/16/2020,18:28,0:46:22,,,,technical_support,30,Taguig,6
554781,35483122212,load,4/23/2020,22:50,0:42:53,,GoSakto70,20,loading,,Mandaluyong,15
977431,98828807824,facebook,5/3/2020,13:03,0:40:23,,,,facebook.com,1250,Paranaque,5
126649,59037706746,facebook,2/11/2020,3:31,0:35:10,,,,facebook.com,500,Pasig,6
342698,57336341869,online_shopping,9/4/2020,9:42,0:20:22,,,,shopee,300,Taguig,10
749026,83136069205,online_consultation,1/20/2020,2:47,0:19:26,,,,school_consultation,450,Caloocan,6
542455,63102977601,load,7/31/2020,20:33,,,GoSakto70,200,loading,,Pasig,3
504144,11118365516,youtube,3/9/2020,9:46,0:09:55,,,,youtube.com,3000,Pasig,12
730764,87322145376,online_game,4/25/2020,22:39,0:34:24,,,,game b,500,Las Pinas,5
366468,30455574687,online_consultation,9/1/2020,13:11,0:30:45,,,,medical_consultation,750,Pasig,9
701376,31065938319,online_consultation,3/6/2020,12:00,0:08:49,,,,technical_consultation,150,Muntinlupa,9
485210,52240660369,online_consultation,6/10/2020,15:49,0:47:36,,,,technical_consultation,750,Valenzuela,13
663840,97262727105,online_shopping,10/19/2020,14:03,0:02:10,,,,shopee,450,Malabon,5
892606,42757612813,load,1/29/2020,11:01,0:19:57,,GoSakto70,20,loading,,Marikina,10
927314,41725966065,youtube,10/1/2020,17:42,0:35:39,,,,youtube.com,4000,San Juan,11
249173,22939342944,online_shopping,12/1/2020,6:23,0:15:51,,,,shopee,300,Navotas,2
851186,15931690954,twitter,10/29/2020,16:01,0:16:45,,,,twitter.com,500,Marikina,8
788378,11663108628,online_support,3/9/2020,13:25,0:44:37,,,,technical_support,120,Taguig,9
321638,21513310482,online_shopping,2/14/2020,21:32,0:43:49,,,,lazada,150,Las Pinas,14
142040,89886074080,twitter,2/21/2020,11:53,0:19:46,,,,twitter.com,750,Marikina,13
658625,99276095700,online_game,12/21/2020,10:53,0:41:23,,,,game a,1000,Manila,10
883279,49766300679,bank,2/12/2020,21:25,0:26:13,,,,bdo,50,Mandaluyong,1
426172,30713045593,youtube,9/13/2020,21:38,0:31:20,,,,youtube.com,4000,San Juan,14
392951,95452618536,load,4/12/2020,15:01,0:18:57,,Regular Load,100,loading,,Muntinlupa,16
617390,56719981709,facebook,1/30/2020,8:40,0:03:11,,,,facebook.com,250,Pasay,13
