mobile_number,activity,day,month,time(hour),time(minute),duration(seconds),length_of_text,type_of_load,amount_load,receiver,mb_use,location(city),location(district)
10921518989,7,8,9,14,22,1630,0,0,0,568,80,12,5
24708819895,9,18,10,18,36,3106,0,0,0,715,1000,1,2
68335278914,2,23,9,13,9,1675,216,0,0,693,1,2,4
85563560724,1,17,11,4,39,717,0,0,0,705,500,13,10
11322906443,11,1,8,8,4,1004,0,0,0,707,300,5,6
87429325038,3,20,11,19,33,0,0,2,5,708,0,15,11
61389171731,11,16,8,12,6,1826,0,0,0,711,600,7,11
55758272078,2,23,3,15,43,1305,143,0,0,405,1,3,11
13997564501,7,24,10,23,16,1390,0,0,0,8,40,9,7
99210822810,11,8,11,11,38,976,0,0,0,711,750,13,9
74660808762,7,13,12,4,17,772,0,0,0,367,60,9,11
44091750031,7,15,8,0,45,2971,0,0,0,273,40,13,8
34336123368,1,11,5,8,15,3204,0,0,0,705,2000,13,4
38939145418,6,15,7,11,52,2302,0,0,0,709,300,2,7
34935390666,11,5,11,18,59,3597,0,0,0,707,450,7,11
48419826003,7,18,1,4,39,0,0,0,0,159,60,9,5
85186169556,1,9,1,18,4,0,0,0,0,706,500,10,10
17560936323,2,4,10,17,46,761,123,0,0,9,0,10,10
48608794383,7,22,3,0,30,0,0,0,0,523,20,3,2
72885961377,8,4,9,12,49,3537,0,0,0,714,1000,14,15
25937275405,1,2,11,17,40,1000,0,0,0,706,1500,6,4
44675666644,5,23,8,3,59,653,0,0,0,703,250,10,3
71572354398,5,24,5,7,52,1811,0,0,0,703,250,9,6
71475263844,7,24,8,3,7,1071,0,0,0,360,20,7,14
31029975060,6,19,4,14,18,1932,0,0,0,710,150,2,13
50026964010,5,23,7,5,21,0,0,0,0,703,250,11,1
31711483731,1,4,3,11,55,200,0,0,0,706,1500,14,8
69814221608,8,27,10,7,55,2197,0,0,0,714,750,3,7
79722231144,5,25,8,2,21,3171,0,0,0,703,500,5,10
31209146907,10,8,4,1,48,2506,0,0,0,704,60,2,5
39663527609,9,16,4,13,26,2816,0,0,0,715,5000,5,12
33491836828,9,17,7,7,10,880,0,0,0,715,5000,5,16
64686322897,2,5,8,20,45,538,100,0,0,121,0,1,7
25906792089,1,30,8,18,17,3315,0,0,0,705,2500,5,5
69286228396,4,6,1,9,24,3227,0,0,0,701,150,11,12
17569485243,11,26,12,1,15,2086,0,0,0,707,300,4,2
26840480506,7,11,5,11,25,2357,0,0,0,109,40,4,10
38841227289,3,25,1,23,10,0,0,1,5,708,0,9,16
81892781525,7,2,3,3,3,642,0,0,0,6,40,16,3
63073444394,3,13,12,20,43,1538,0,3,200,708,0,16,8
96706746354,6,8,6,7,28,1037,0,0,0,709,150,5,5
51626048365,11,4,8,6,59,1899,0,0,0,707,600,12,12
57126715144,6,25,11,21,20,444,0,0,0,709,750,3,5
90057030574,8,23,8,15,43,2672,0,0,0,714,500,14,13
68638128866,11,2,8,3,46,1301,0,0,0,711,300,5,11
65853940348,5,8,11,5,50,2381,0,0,0,703,1000,9,10
75398439714,3,6,5,16,7,1592,0,2,150,708,0,5,2
65769602056,4,25,12,2,36,2237,0,0,0,702,50,11,3
16692821112,3,19,5,17,56,1094,0,4,20,708,0,9,4
87737617364,4,8,7,18,0,979,0,0,0,702,200,3,3
34867655850,2,18,6,23,31,2434,86,0,0,380,0,9,13
14768807390,8,16,1,12,21,1518,0,0,0,714,1250,6,1
30330154083,11,20,7,11,38,3027,0,0,0,707,600,2,13
43226038926,5,2,1,22,50,3409,0,0,0,703,1000,5,6
77998180489,2,14,12,12,50,1210,167,0,0,426,1,15,14
69488702276,3,25,2,9,31,1544,0,3,20,708,0,10,16
66287102437,7,26,10,8,23,0,0,0,0,640,20,6,13
40351421451,10,18,8,20,37,1373,0,0,0,704,90,14,11
41074592889,7,20,4,14,57,1665,0,0,0,77,40,5,10
63046104890,7,30,12,19,50,2158,0,0,0,82,80,5,3
11199521042,1,7,4,20,38,2211,0,0,0,705,2500,15,11
92144532642,3,1,7,23,40,623,0,3,50,708,0,5,1
25236820254,1,7,1,14,10,2748,0,0,0,705,2000,5,1
44671275539,6,26,10,16,13,587,0,0,0,710,600,12,4
92746537968,5,6,3,18,26,2836,0,0,0,703,1000,3,12
42767593534,8,29,4,6,34,1001,0,0,0,714,750,10,9
50867716974,11,28,9,0,8,3526,0,0,0,707,150,12,7
21927897378,4,29,7,12,57,198,0,0,0,701,250,1,1
43835722509,3,3,11,14,15,94,0,4,50,708,0,6,5
29255273569,8,17,5,23,59,2624,0,0,0,714,750,8,8
20915517632,2,4,11,5,32,2859,98,0,0,163,0,13,7
87714122561,8,31,8,11,41,1099,0,0,0,714,750,12,10
48744683835,2,28,11,22,46,1107,82,0,0,648,0,2,2
86634719145,9,16,8,6,5,1818,0,0,0,715,4000,13,2
52083092893,3,9,7,15,10,2650,0,3,150,708,0,5,15
34451697115,6,7,8,14,43,0,0,0,0,710,750,5,11
74365313263,4,20,6,18,38,1015,0,0,0,701,50,11,15
36501318993,3,13,7,21,43,1244,0,2,20,708,0,8,6
85643457555,10,9,2,19,35,1878,0,0,0,713,30,11,15
46503094856,10,8,4,12,30,632,0,0,0,713,30,16,14
46562739007,7,28,2,21,13,959,0,0,0,67,40,11,3
83146397555,4,27,11,18,12,1133,0,0,0,701,100,3,10
48092068109,11,2,8,19,52,1050,0,0,0,707,300,13,4
40451643899,10,20,4,14,1,2495,0,0,0,713,30,12,15
62161271327,9,12,10,12,41,193,0,0,0,715,2000,7,4
85176489264,11,26,9,18,34,0,0,0,0,711,300,11,7
93281523839,9,19,12,20,53,1831,0,0,0,715,5000,1,16
37359754644,4,4,6,12,53,2801,0,0,0,702,100,13,9
91558028989,3,16,9,23,57,1465,0,4,50,708,0,1,3
66296038423,10,14,3,1,31,1253,0,0,0,704,120,16,15
14010464745,7,21,6,22,56,3330,0,0,0,200,80,6,7
39311705185,7,4,8,11,43,1259,0,0,0,320,20,7,13
99252660528,5,18,2,12,43,1830,0,0,0,703,1250,5,12
42334099883,7,8,12,0,16,2954,0,0,0,478,20,5,4
72625140607,1,25,10,13,13,590,0,0,0,705,500,12,7
38078236965,1,4,11,17,41,0,0,0,0,705,500,7,15
76294471049,6,17,12,13,31,3310,0,0,0,712,600,3,3
91576915779,7,17,11,4,15,2279,0,0,0,662,40,9,5
74726708939,7,24,8,23,51,434,0,0,0,135,80,3,5
88920314902,1,29,8,21,22,634,0,0,0,706,2000,16,7
75641001171,5,10,7,15,48,1787,0,0,0,703,250,3,3
40581493026,4,24,12,23,58,502,0,0,0,701,250,2,5
71042678491,3,2,2,9,5,0,0,1,20,708,0,3,6
68714003568,4,4,12,18,23,1965,0,0,0,701,50,5,14
30531149056,7,30,11,3,19,3413,0,0,0,617,40,11,10
12716621433,11,13,11,16,15,0,0,0,0,707,150,8,6
15918341149,11,9,10,21,6,2205,0,0,0,711,600,12,14
62601216739,1,22,8,15,9,794,0,0,0,705,1500,9,5
50262269945,2,30,5,18,14,2737,160,0,0,155,1,10,14
39445347319,2,6,8,5,26,2053,106,0,0,111,0,2,9
81595580494,4,11,2,5,51,940,0,0,0,702,150,15,11
46336029098,9,18,10,0,59,110,0,0,0,715,4000,3,13
50716899519,1,27,3,14,2,0,0,0,0,706,1000,2,14
62316072233,6,27,4,16,4,0,0,0,0,709,150,10,13
11866354295,5,11,10,18,25,2894,0,0,0,703,250,14,4
26372574745,6,16,11,16,8,1758,0,0,0,710,450,12,6
89817002694,7,8,7,5,28,297,0,0,0,415,80,13,6
18985853288,1,24,12,14,46,191,0,0,0,705,2500,8,1
72099232946,10,27,5,19,58,1536,0,0,0,704,30,2,14
82587642606,8,16,8,3,40,1857,0,0,0,714,250,8,11
94799684350,11,4,5,3,11,1993,0,0,0,707,300,12,9
36938044023,7,23,5,16,51,1522,0,0,0,465,40,1,5
55525802222,6,31,7,9,22,1598,0,0,0,709,600,12,6
29328982331,11,10,3,7,30,1786,0,0,0,711,750,13,12
26462096221,11,9,8,17,4,3448,0,0,0,711,150,2,3
87735262690,9,1,5,14,14,0,0,0,0,715,2000,3,3
94093156879,3,28,5,9,0,1955,0,1,150,708,0,12,14
21772996025,9,26,4,2,10,2979,0,0,0,715,1000,13,8
49989201215,3,9,2,20,31,1766,0,3,20,708,0,16,12
66621702386,3,29,9,21,38,1489,0,3,200,708,0,6,10
58576921385,3,18,5,16,24,2904,0,3,200,708,0,8,7
28273304431,10,27,4,0,39,1350,0,0,0,713,120,1,9
12703668936,5,23,6,2,15,0,0,0,0,703,750,8,9
35158056213,5,14,3,5,13,3334,0,0,0,703,500,4,13
71597335015,10,6,1,15,42,1845,0,0,0,713,150,5,5
77235149700,5,27,10,23,5,0,0,0,0,703,1000,15,1
11328019437,5,11,3,16,16,0,0,0,0,703,750,4,11
70783370730,2,20,2,7,35,3416,195,0,0,566,1,4,16
48155793374,4,14,9,3,47,1852,0,0,0,701,50,8,11
25708598675,7,17,1,2,35,1601,0,0,0,260,20,8,14
65652116377,2,5,4,1,40,3320,63,0,0,530,0,16,2
32184546188,8,6,4,0,17,1235,0,0,0,714,500,4,12
48505621876,2,12,5,2,13,0,106,0,0,243,0,13,9
90386175651,5,30,1,22,52,0,0,0,0,703,1000,13,6
64928412299,9,18,8,13,32,561,0,0,0,715,4000,13,12
63935190119,6,17,8,8,20,3011,0,0,0,710,300,5,9
82639770432,9,15,7,19,4,0,0,0,0,715,3000,1,1
81571372456,1,6,11,13,1,1917,0,0,0,705,500,11,8
90568482729,4,8,11,15,31,1548,0,0,0,702,250,12,14
67600547716,11,11,2,15,6,1937,0,0,0,711,600,9,11
83270172312,2,30,12,6,21,477,112,0,0,494,0,11,3
50905485503,6,20,3,18,19,2139,0,0,0,712,150,5,1
57630150911,10,4,8,8,10,3509,0,0,0,713,150,15,4
95633818048,5,27,8,2,7,2038,0,0,0,703,250,16,15
21529268594,1,4,9,14,29,2928,0,0,0,706,2500,2,13
37577718043,11,24,2,11,38,0,0,0,0,707,450,1,15
58529265458,2,7,4,10,7,0,121,0,0,211,0,1,15
53749917724,7,30,5,23,21,3014,0,0,0,44,40,15,5
97308030873,10,16,10,8,42,2335,0,0,0,713,60,10,15
22679301628,7,14,6,20,46,2051,0,0,0,459,100,14,2
17172274158,4,22,8,3,47,2630,0,0,0,702,200,11,3
20350028681,6,26,5,23,40,855,0,0,0,712,450,6,8
90903910750,11,19,5,17,15,1773,0,0,0,707,450,6,10
12902613467,6,16,10,3,7,0,0,0,0,710,450,5,10
77842359185,3,22,9,15,44,1232,0,4,20,708,0,12,13
93404448865,9,30,10,1,32,2567,0,0,0,715,5000,2,6
38803232433,6,1,5,15,1,3194,0,0,0,712,750,7,11
94026327319,1,9,11,20,4,315,0,0,0,705,1000,3,4
93424038220,10,23,12,0,54,3459,0,0,0,713,60,5,2
16752962843,8,27,9,0,49,390,0,0,0,714,1250,12,2
43534195565,7,13,7,1,23,2688,0,0,0,320,60,9,3
97038508156,9,20,7,16,48,637,0,0,0,715,2000,14,1
42336243508,3,5,5,2,38,141,0,1,100,708,0,8,6
86479239578,11,22,6,10,57,101,0,0,0,707,600,8,12
32654189830,9,19,3,5,53,563,0,0,0,715,2000,8,9
86478023113,6,29,5,18,17,0,0,0,0,710,150,13,6
84976778843,9,7,9,3,49,550,0,0,0,715,2000,5,6
25947168307,9,27,12,16,23,0,0,0,0,715,2000,12,14
66385178960,1,28,1,15,51,158,0,0,0,706,2000,12,15
64764199578,5,29,6,8,34,1422,0,0,0,703,250,9,14
51319805160,9,22,10,11,36,2794,0,0,0,715,3000,4,9
39117702681,6,2,9,14,52,40,0,0,0,712,600,10,4
30052599058,7,4,11,9,21,1198,0,0,0,279,60,4,9
21709281830,8,13,3,20,59,1157,0,0,0,714,1000,6,13
47918926222,9,24,7,21,18,1936,0,0,0,715,3000,11,3
34663083017,2,3,11,5,33,3234,72,0,0,110,0,3,9
34956033194,2,18,8,14,3,27,186,0,0,504,1,1,5
84225893224,4,29,10,15,43,3042,0,0,0,702,250,3,1
99928760579,7,28,10,1,24,1606,0,0,0,285,40,11,6
76499063323,1,28,10,21,50,1241,0,0,0,705,2000,6,3
38944570668,8,24,1,13,32,3032,0,0,0,714,1250,15,6
12706377188,9,25,12,14,10,3097,0,0,0,715,5000,1,5
12083009701,6,23,10,10,50,1909,0,0,0,710,750,8,16
15612124060,3,9,10,23,11,3588,0,4,10,708,0,1,13
50329948378,10,29,6,18,30,0,0,0,0,713,90,9,7
10056290345,7,18,8,0,49,3440,0,0,0,214,60,5,14
70712500024,10,24,6,21,36,2900,0,0,0,704,150,9,12
42506669999,6,11,1,9,24,1750,0,0,0,710,150,11,4
45849879931,8,11,7,18,56,449,0,0,0,714,500,13,12
39024956854,6,13,11,20,42,1400,0,0,0,709,750,8,5
73262896623,11,7,8,8,26,1235,0,0,0,711,450,2,5
85406662978,10,27,3,10,39,2010,0,0,0,704,150,6,16
18888952689,9,1,10,10,16,3438,0,0,0,715,1000,13,11
41245072681,8,29,7,4,42,0,0,0,0,714,1000,3,14
30594521949,5,12,12,6,18,0,0,0,0,703,750,9,9
33812130967,7,10,3,14,26,2872,0,0,0,613,20,14,13
78453697319,7,15,5,12,4,2715,0,0,0,468,100,8,5
49136014868,10,9,11,16,51,0,0,0,0,704,120,3,3
10918298440,7,21,12,1,32,2094,0,0,0,665,40,9,7
27751850442,5,22,11,8,52,3084,0,0,0,703,1250,10,14
88329476869,4,28,6,3,24,1096,0,0,0,702,100,13,3
43491349516,5,26,12,5,58,3292,0,0,0,703,1250,11,4
75732677306,9,17,5,14,10,2174,0,0,0,715,2000,13,1
73120714795,9,5,1,23,8,1212,0,0,0,715,1000,8,11
64808627659,8,27,10,14,54,2982,0,0,0,714,1250,10,1
66447897220,10,2,6,10,24,2532,0,0,0,713,60,10,4
48716595141,5,14,9,14,42,518,0,0,0,703,250,14,4
45073197220,8,18,9,20,9,2432,0,0,0,714,1250,8,8
84974289297,1,10,11,1,19,1955,0,0,0,705,1000,7,1
95222150641,7,23,1,21,51,214,0,0,0,565,60,14,3
77357957118,1,6,9,9,9,3583,0,0,0,706,2000,13,1
48884717722,6,6,6,19,30,2063,0,0,0,710,600,3,12
23738972140,1,17,2,20,42,3297,0,0,0,705,2000,5,14
18512046051,2,4,5,13,37,393,209,0,0,35,1,7,5
92379306924,9,3,10,8,49,1768,0,0,0,715,2000,8,14
89925770552,6,8,3,1,50,1183,0,0,0,710,150,11,13
56237218755,8,14,1,10,15,256,0,0,0,714,1250,3,11
17385041290,5,9,5,10,9,1632,0,0,0,703,1250,4,2
31326742424,4,26,11,2,33,943,0,0,0,702,50,3,11
30705741096,9,17,5,2,26,2327,0,0,0,715,5000,12,5
70264387289,5,16,12,22,43,1314,0,0,0,703,750,16,10
92991126593,7,1,11,4,19,1178,0,0,0,190,80,8,16
79302869550,11,3,8,9,25,976,0,0,0,707,750,4,2
75149987157,5,14,3,18,6,2742,0,0,0,703,750,1,11
80312098964,1,19,11,8,29,1834,0,0,0,705,2500,3,2
94407600302,9,9,8,3,2,3401,0,0,0,715,3000,12,12
60447479573,10,16,9,18,28,2782,0,0,0,713,30,5,6
35483122212,3,23,4,22,50,2573,0,2,20,708,0,10,15
98828807824,5,3,5,13,3,2423,0,0,0,703,1250,3,5
59037706746,5,11,2,3,31,2110,0,0,0,703,500,12,6
57336341869,11,4,9,9,42,1222,0,0,0,711,300,5,10
83136069205,6,20,1,2,47,1166,0,0,0,710,450,13,6
63102977601,3,31,7,20,33,0,0,2,200,708,0,12,3
11118365516,9,9,3,9,46,595,0,0,0,715,3000,12,12
87322145376,1,25,4,22,39,2064,0,0,0,706,500,15,5
30455574687,6,1,9,13,11,1845,0,0,0,709,750,12,9
31065938319,6,6,3,12,0,529,0,0,0,712,150,4,9
52240660369,6,10,6,15,49,2856,0,0,0,712,750,9,13
97262727105,11,19,10,14,3,130,0,0,0,711,450,2,5
42757612813,3,29,1,11,1,1197,0,2,20,708,0,8,10
41725966065,9,1,10,17,42,2139,0,0,0,715,4000,6,11
22939342944,11,1,12,6,23,951,0,0,0,711,300,11,2
15931690954,8,29,10,16,1,1005,0,0,0,714,500,8,8
11663108628,10,9,3,13,25,2677,0,0,0,713,120,5,9
21513310482,11,14,2,21,32,2629,0,0,0,707,150,15,14
89886074080,8,21,2,11,53,1186,0,0,0,714,750,8,13
99276095700,1,21,12,10,53,2483,0,0,0,705,1000,14,10
49766300679,4,12,2,21,25,1573,0,0,0,701,50,10,1
30713045593,9,13,9,21,38,1880,0,0,0,715,4000,6,14
95452618536,3,12,4,15,1,1137,0,4,100,708,0,4,16
56719981709,5,30,1,8,40,191,0,0,0,703,250,16,13
89464413283,2,1,2,23,16,1608,181,0,0,253,1,13,14
60951287032,5,16,1,13,5,0,0,0,0,703,1000,3,5
95779840206,3,15,1,3,48,472,0,1,50,708,0,8,12
12337150911,8,11,6,9,48,1113,0,0,0,714,250,13,14
17519590210,5,25,6,10,30,1437,0,0,0,703,750,14,7
74555362658,8,19,9,9,25,3141,0,0,0,714,1250,2,9
50739707846,3,8,4,20,12,2568,0,4,20,708,0,16,9
64348374097,10,30,10,21,46,2933,0,0,0,704,60,5,14
34261469501,5,29,11,20,58,1364,0,0,0,703,750,3,9
94510517587,6,8,3,23,53,1844,0,0,0,709,750,4,6
85464938112,9,6,4,23,13,863,0,0,0,715,2000,7,16
40825572479,3,21,6,22,7,703,0,1,10,708,0,3,3
24836898768,3,26,2,19,1,1048,0,2,150,708,0,6,4
90965454979,5,12,5,9,49,939,0,0,0,703,250,13,11
18705005731,4,21,11,21,31,441,0,0,0,702,50,15,7
57259542736,7,29,12,11,21,2393,0,0,0,291,40,13,10
97359669476,4,7,7,3,46,3442,0,0,0,701,250,16,6
52821731914,6,11,5,8,18,2714,0,0,0,709,450,4,9
86780706806,7,19,8,3,47,172,0,0,0,668,100,2,6
63676022666,5,25,12,21,34,0,0,0,0,703,500,16,2
80355932966,5,7,6,19,58,0,0,0,0,703,1000,9,12
38437881194,7,4,4,8,37,2730,0,0,0,302,40,5,2
24204743356,10,12,12,21,14,47,0,0,0,713,60,13,1
71830659069,2,15,3,22,54,1377,88,0,0,559,0,14,11
39080518166,6,22,5,0,31,1601,0,0,0,710,600,12,9
39063684040,3,19,12,1,25,2731,0,1,200,708,0,7,8
42711038374,7,31,7,1,22,945,0,0,0,505,40,4,10
82742411962,1,10,6,8,25,2530,0,0,0,705,2500,1,10
87630401250,8,29,11,13,8,2273,0,0,0,714,250,8,13
46532809495,6,5,11,11,27,1191,0,0,0,710,150,3,12
92931941072,3,5,8,3,43,2835,0,1,100,708,0,7,2
46788658356,8,31,8,3,55,3135,0,0,0,714,1000,15,10
91503198284,3,21,6,2,18,3310,0,3,10,708,0,11,5
25182680665,4,31,8,9,58,877,0,0,0,701,150,15,2
78052585349,3,11,7,7,55,256,0,4,10,708,0,11,16
32640850381,10,25,4,3,58,282,0,0,0,713,150,6,12
94869806631,5,3,6,19,27,3173,0,0,0,703,500,10,11
21785666416,5,15,6,7,28,2034,0,0,0,703,1000,3,9
17337431206,9,19,1,21,35,1032,0,0,0,715,1000,16,6
75565149177,10,24,4,10,15,2870,0,0,0,704,30,16,12
84426670293,8,27,1,22,45,391,0,0,0,714,250,10,1
50993482883,5,20,8,13,55,3419,0,0,0,703,1250,9,15
32256217414,1,15,6,18,47,3293,0,0,0,705,2500,12,10
36978680224,6,23,10,21,51,3194,0,0,0,710,600,15,11
53236350143,8,15,9,8,53,2605,0,0,0,714,1250,8,11
69363420823,10,2,9,19,13,1600,0,0,0,704,120,9,4
39933128311,4,31,7,8,38,1558,0,0,0,701,200,16,12
13800935640,6,21,3,11,4,171,0,0,0,712,450,16,8
22340095966,3,10,12,14,30,2852,0,2,50,708,0,13,6
92464589297,3,13,11,8,33,2172,0,3,150,708,0,10,6
65087402311,9,31,8,0,28,2774,0,0,0,715,1000,4,10
26096873053,10,8,10,13,46,871,0,0,0,713,60,10,1
85809671029,6,16,5,12,22,2716,0,0,0,710,450,12,13
98161505659,11,30,5,13,30,0,0,0,0,711,300,4,12
54072942843,1,11,10,5,46,0,0,0,0,705,1500,11,5
76775874759,4,25,7,16,16,0,0,0,0,701,200,4,9
93391654487,5,17,2,17,48,2871,0,0,0,703,1250,6,12
52080201618,10,24,12,22,57,1588,0,0,0,713,90,5,14
31294099391,1,20,6,21,0,430,0,0,0,706,2500,4,15
84572242274,6,15,8,10,58,3350,0,0,0,710,150,8,6
30924269784,2,30,5,23,23,2413,136,0,0,323,1,4,2
58397196340,1,5,5,20,22,0,0,0,0,705,2000,13,15
64426361817,10,14,11,12,54,262,0,0,0,704,120,9,1
46659451278,10,17,11,10,15,3563,0,0,0,704,30,4,2
20547835016,7,17,2,23,44,0,0,0,0,579,100,3,12
71712906349,3,4,10,7,21,3419,0,3,50,708,0,14,13
42634965883,2,9,8,11,57,3469,96,0,0,402,0,16,5
24156333225,2,29,2,13,0,3104,108,0,0,339,0,14,9
43389720374,11,17,8,7,10,2514,0,0,0,707,750,7,12
64136354493,4,21,11,22,37,0,0,0,0,701,50,15,16
56913338297,6,21,1,14,37,3197,0,0,0,712,450,7,8
78282512632,3,23,6,13,24,95,0,4,150,708,0,15,8
61978960643,8,10,11,11,42,1969,0,0,0,714,1250,9,11
90143668610,7,16,5,7,33,730,0,0,0,298,60,16,11
12588602889,2,30,5,17,5,0,149,0,0,479,1,8,5
45111591385,4,18,6,6,23,0,0,0,0,701,100,12,8
59935199967,4,16,1,17,49,3339,0,0,0,702,50,12,3
73972593386,4,17,8,23,13,3329,0,0,0,701,200,5,14
80903365294,8,29,8,6,46,1130,0,0,0,714,500,5,4
50028055644,10,30,3,9,48,47,0,0,0,713,120,6,1
40926846900,6,14,9,3,1,3073,0,0,0,710,450,15,14
48299467851,9,11,1,20,14,490,0,0,0,715,5000,15,15
49346211815,4,12,2,21,29,2388,0,0,0,702,200,13,14
25265933038,6,30,7,4,46,3529,0,0,0,710,750,2,12
43275399921,1,30,1,10,36,3213,0,0,0,706,1000,10,7
36222386703,6,22,5,8,36,3400,0,0,0,712,150,5,3
99910043255,4,6,2,23,37,0,0,0,0,702,250,7,16
39273904553,1,21,11,22,50,296,0,0,0,705,500,8,6
68179524352,1,12,4,7,32,1879,0,0,0,706,1000,6,3
31618627789,9,12,11,21,31,2686,0,0,0,715,4000,16,15
33933116696,10,23,4,22,24,2536,0,0,0,713,120,14,3
46580699794,7,8,3,16,23,0,0,0,0,406,60,7,8
59200292420,5,12,7,9,54,196,0,0,0,703,250,8,4
22740051866,2,4,8,9,30,2544,168,0,0,88,1,2,3
91182077705,2,1,8,4,21,1996,193,0,0,644,1,12,5
56714681450,1,15,1,8,1,1046,0,0,0,705,500,15,7
84105097097,9,18,3,6,54,0,0,0,0,715,5000,10,7
74994609497,5,25,5,18,59,3197,0,0,0,703,1000,6,10
84531779524,3,17,9,10,19,0,0,2,150,708,0,5,15
21750560136,9,3,5,18,48,1797,0,0,0,715,3000,3,13
75344901536,8,30,1,12,3,2931,0,0,0,714,1000,15,16
36690511389,5,11,10,13,56,0,0,0,0,703,1250,7,2
32499417313,7,22,11,1,1,1547,0,0,0,56,40,3,16
14935604613,11,2,10,22,17,2613,0,0,0,707,450,15,14
53045412833,11,14,11,5,32,237,0,0,0,711,450,3,13
48999681935,11,1,6,13,46,2435,0,0,0,707,300,7,6
78946130667,10,23,1,6,14,3277,0,0,0,713,120,7,3
33196935619,2,15,2,3,49,1849,223,0,0,95,1,7,8
58986468313,7,9,11,7,40,2448,0,0,0,654,20,6,7
11804622211,9,27,3,0,13,3501,0,0,0,715,2000,2,10
51817011690,8,11,10,7,48,3346,0,0,0,714,750,7,15
13314447864,3,5,12,23,33,3565,0,3,200,708,0,15,3
72548042844,11,12,1,20,20,2011,0,0,0,707,750,14,2
47905400747,2,12,3,16,50,2710,195,0,0,501,1,4,5
18450089251,6,12,9,11,5,1762,0,0,0,710,150,9,6
48555551364,8,6,1,5,20,1119,0,0,0,714,500,16,16
24656187974,3,18,12,7,24,1172,0,1,200,708,0,8,14
32068194813,7,7,1,7,8,0,0,0,0,122,20,11,10
46574189405,6,6,1,23,56,835,0,0,0,709,450,6,6
70025144584,8,30,3,5,35,1307,0,0,0,714,1000,9,3
44144602134,3,21,7,3,19,2711,0,3,150,708,0,10,1
85213539808,4,5,10,20,58,36,0,0,0,702,100,8,8
43167927162,7,21,2,18,16,0,0,0,0,272,20,12,14
44375592524,4,8,7,4,23,2639,0,0,0,702,50,4,5
66021281921,4,12,3,13,33,3030,0,0,0,701,200,7,8
68375224131,1,6,2,19,31,2304,0,0,0,705,2000,8,8
34104824147,3,11,12,4,43,682,0,2,5,708,0,9,2
87101306033,7,5,5,15,19,2784,0,0,0,496,20,1,8
80749699012,3,5,5,12,3,1593,0,2,5,708,0,6,5
43396259936,1,10,12,12,40,1237,0,0,0,705,1000,11,1
11016532592,6,2,11,2,49,0,0,0,0,712,450,3,12
93032639540,11,31,1,1,59,821,0,0,0,711,450,2,1
60866014819,8,12,11,10,44,0,0,0,0,714,750,12,11
48096559657,3,27,5,17,34,2682,0,3,20,708,0,2,4
33426899843,8,26,6,10,48,3204,0,0,0,714,1250,13,13
70141521825,2,25,5,9,22,2557,178,0,0,573,1,2,15
23272540985,3,11,2,0,8,0,0,4,5,708,0,5,2
